G,BP-RP,MG
20.1122,0.5408,5.5172
18.4964,0.5412,3.9014
19.1669,0.5414,4.5719
19.2227,0.5414,4.6277
18.6373,0.5415,4.0423
18.8543,0.5416,4.2593
20.7162,0.5417,6.1212
18.5144,0.5417,3.9194
18.7015,0.5418,4.1065
18.9357,0.5418,4.3407
20.6422,0.5419,6.0472
18.6812,0.542,4.0862
18.3677,0.5421,3.7727
19.4242,0.5428,4.8292
19.8178,0.5431,5.2228
19.2214,0.5433,4.6264
18.8592,0.5433,4.2642
18.4041,0.5433,3.8091
19.3321,0.5434,4.7371
19.4883,0.5434,4.8933
18.8527,0.5434,4.2577
